ticker,name,sector,market_cap_tier,adv_filter,include
WFC,Wells Fargo and Co,Financials,LARGE,true,true
ELV,Elevance Health Inc,Healthcare,LARGE,true,true
PYPL,PayPal Holdings Inc,Financials,LARGE,true,true
ADI,Analog Devices Inc,Technology,LARGE,true,true
MRVL,Marvell Technology Inc,Technology,LARGE,true,true
AMT,American Tower Corp,Real Estate,LARGE,true,true
USB,US Bancorp,Financials,LARGE,true,true
BSX,Boston Scientific Corp,Healthcare,LARGE,true,true
ETN,Eaton Corp PLC,Industrials,LARGE,true,true
PNC,PNC Financial Services,Financials,LARGE,true,true
SO,Southern Co,Utilities,LARGE,true,true
UBER,Uber Technologies Inc,Consumer Discretionary,LARGE,true,true
DE,Deere and Co,Industrials,LARGE,true,true
INTC,Intel Corp,Technology,LARGE,true,true
MMC,Marsh and McLennan Companies,Financials,LARGE,true,true
CME,CME Group Inc,Financials,LARGE,true,true
AMAT,Applied Materials Inc,Technology,LARGE,true,true
CI,Cigna Group,Healthcare,LARGE,true,true
PANW,Palo Alto Networks Inc,Technology,LARGE,true,true
SNPS,Synopsys Inc,Technology,LARGE,true,true
MCO,Moody's Corp,Financials,LARGE,true,true
APH,Amphenol Corp,Technology,LARGE,true,true
CL,Colgate-Palmolive Co,Consumer Staples,LARGE,true,true
CDNS,Cadence Design Systems,Technology,LARGE,true,true
EQIX,Equinix Inc,Real Estate,LARGE,true,true
WM,Waste Management Inc,Industrials,LARGE,true,true
CEG,Constellation Energy Corp,Utilities,LARGE,true,true
WELL,Welltower Inc,Real Estate,LARGE,true,true
MSI,Motorola Solutions Inc,Technology,LARGE,true,true
MCK,McKesson Corp,Healthcare,LARGE,true,true
ECL,Ecolab Inc,Materials,LARGE,true,true
PH,Parker-Hannifin Corp,Industrials,LARGE,true,true
ROP,Roper Technologies Inc,Technology,LARGE,true,true
ORLY,O'Reilly Automotive Inc,Consumer Discretionary,LARGE,true,true
HCA,HCA Healthcare Inc,Healthcare,LARGE,true,true
ZTS,Zoetis Inc,Healthcare,LARGE,true,true
TT,Trane Technologies PLC,Industrials,LARGE,true,true
ABNB,Airbnb Inc,Consumer Discretionary,LARGE,true,true
FI,Fiserv Inc,Financials,LARGE,true,true
MHO,M/I Homes Inc,Consumer Discretionary,MID,true,true
VRSK,Verisk Analytics Inc,Industrials,LARGE,true,true
COF,Capital One Financial Corp,Financials,LARGE,true,true
APO,Apollo Global Management,Financials,LARGE,true,true
ALL,Allstate Corp,Financials,LARGE,true,true
GWW,WW Grainger Inc,Industrials,LARGE,true,true
EMR,Emerson Electric Co,Industrials,LARGE,true,true
EXC,Exelon Corp,Utilities,LARGE,true,true
AFL,Aflac Inc,Financials,LARGE,true,true
MCHP,Microchip Technology Inc,Technology,LARGE,true,true
CARR,Carrier Global Corp,Industrials,LARGE,true,true
AEP,American Electric Power,Utilities,LARGE,true,true
OXY,Occidental Petroleum Corp,Energy,MID,true,true
IDXX,IDEXX Laboratories Inc,Healthcare,MID,true,true
MSCI,MSCI Inc,Financials,MID,true,true
ROST,Ross Stores Inc,Consumer Discretionary,LARGE,true,true
DG,Dollar General Corp,Consumer Discretionary,LARGE,true,true
EW,Edwards Lifesciences Corp,Healthcare,MID,true,true
HUM,Humana Inc,Healthcare,LARGE,true,true
RSG,Republic Services Inc,Industrials,LARGE,true,true
AIG,American International Group,Financials,LARGE,true,true
IQV,IQVIA Holdings Inc,Healthcare,MID,true,true
CTAS,Cintas Corp,Industrials,LARGE,true,true
DXCM,DexCom Inc,Healthcare,MID,true,true
MPWR,Monolithic Power Systems,Technology,MID,true,true
NXPI,NXP Semiconductors NV,Technology,LARGE,true,true
KEYS,Keysight Technologies Inc,Technology,MID,true,true
PAYX,Paychex Inc,Industrials,LARGE,true,true
SHW,Sherwin-Williams Co,Materials,LARGE,true,true
PPG,PPG Industries Inc,Materials,MID,true,true
GLW,Corning Inc,Technology,MID,true,true
HPQ,HP Inc,Technology,LARGE,true,true
FAST,Fastenal Co,Industrials,MID,true,true
CHTR,Charter Communications Inc,Communication Services,LARGE,true,true
TTD,Trade Desk Inc,Technology,MID,true,true
HUBS,HubSpot Inc,Technology,MID,true,true
VEEV,Veeva Systems Inc,Technology,MID,true,true
TEAM,Atlassian Corp,Technology,MID,true,true
ZM,Zoom Video Communications,Technology,MID,true,true
DDOG,Datadog Inc,Technology,MID,true,true
NET,Cloudflare Inc,Technology,MID,true,true
CRWD,CrowdStrike Holdings Inc,Technology,LARGE,true,true
ZS,Zscaler Inc,Technology,MID,true,true
MDB,MongoDB Inc,Technology,MID,true,true
SNOW,Snowflake Inc,Technology,LARGE,true,true
TWLO,Twilio Inc,Technology,MID,true,true
OKTA,Okta Inc,Technology,MID,true,true
BILL,Bill Holdings Inc,Technology,MID,true,true
GTLB,GitLab Inc,Technology,MID,true,true
MSTR,MicroStrategy Inc,Technology,MID,true,false
SQ,Block Inc,Technology,MID,true,true
SHOP,Shopify Inc,Technology,LARGE,true,true
DASH,DoorDash Inc,Consumer Discretionary,MID,true,true
LYFT,Lyft Inc,Consumer Discretionary,MID,true,true
RBLX,Roblox Corp,Technology,MID,true,true
U,Unity Software Inc,Technology,MID,true,true
COIN,Coinbase Global Inc,Financials,LARGE,true,true
HOOD,Robinhood Markets Inc,Financials,MID,true,true
SOFI,SoFi Technologies Inc,Financials,MID,true,true
NKLA,Nikola Corp,Consumer Discretionary,MID,false,true
RIVN,Rivian Automotive Inc,Consumer Discretionary,LARGE,true,true
LCID,Lucid Group Inc,Consumer Discretionary,MID,false,true
F,Ford Motor Co,Consumer Discretionary,LARGE,true,true
GM,General Motors Co,Consumer Discretionary,LARGE,true,true
LI,Li Auto Inc,Consumer Discretionary,MID,true,true
NIO,NIO Inc,Consumer Discretionary,MID,true,false
XPEV,XPeng Inc,Consumer Discretionary,MID,true,true
BYND,Beyond Meat Inc,Consumer Staples,MID,false,true
DIS,Walt Disney Co,Communication Services,LARGE,true,true
CMCSA,Comcast Corp,Communication Services,LARGE,true,true
NWSA,News Corp Class A,Communication Services,MID,true,true
WBD,Warner Bros Discovery Inc,Communication Services,LARGE,true,true
PARA,Paramount Global,Communication Services,MID,true,true
SPOT,Spotify Technology SA,Communication Services,LARGE,true,true
AMC,AMC Entertainment Holdings,Communication Services,MID,false,true
GME,GameStop Corp,Consumer Discretionary,MID,false,true
BBBY,Bed Bath and Beyond - DELISTED,Consumer Discretionary,MID,false,false
SNDL,Sundial Growers Inc,Consumer Discretionary,MID,false,false
TLRY,Tilray Brands Inc,Consumer Staples,MID,false,true
CGC,Canopy Growth Corp,Consumer Staples,MID,false,true
ACB,Aurora Cannabis Inc,Consumer Staples,MID,false,true
BB,BlackBerry Ltd,Technology,MID,false,true
NOK,Nokia OYJ,Technology,MID,false,true
AI,C3.ai Inc,Technology,MID,true,true
IONQ,IonQ Inc,Technology,MID,false,true
RXRX,Recursion Pharmaceuticals,Healthcare,MID,false,true
ARKG,ARK Genomic Revolution ETF - ETF,Healthcare,ETF,false,false
CVS,CVS Health Corp,Healthcare,LARGE,true,true
WBA,Walgreens Boots Alliance,Healthcare,LARGE,true,true
MCY,Mercury General Corp,Financials,MID,true,true
SPG,Simon Property Group Inc,Real Estate,LARGE,true,true
O,Realty Income Corp,Real Estate,LARGE,true,true
WPC,WP Carey Inc,Real Estate,MID,true,true
PSA,Public Storage,Real Estate,LARGE,true,true
EXR,Extra Space Storage Inc,Real Estate,MID,true,true
SBUX,Starbucks Corp,Consumer Discretionary,LARGE,true,true
MCD,McDonald's Corp,Consumer Discretionary,LARGE,true,true
YUM,Yum Brands Inc,Consumer Discretionary,LARGE,true,true
CMG,Chipotle Mexican Grill,Consumer Discretionary,LARGE,true,true
DPZ,Domino's Pizza Inc,Consumer Discretionary,MID,true,true
WING,Wingstop Inc,Consumer Discretionary,MID,true,true
EAT,Brinker International Inc,Consumer Discretionary,MID,true,true
BA,Boeing Co,Industrials,LARGE,true,true
LMT,Lockheed Martin Corp,Industrials,LARGE,true,true
NOC,Northrop Grumman Corp,Industrials,LARGE,true,true
GD,General Dynamics Corp,Industrials,LARGE,true,true
HII,Huntington Ingalls Industries,Industrials,MID,true,true
LHX,L3Harris Technologies Inc,Industrials,LARGE,true,true
FDX,FedEx Corp,Industrials,LARGE,true,true
UPS,United Parcel Service Inc,Industrials,LARGE,true,true
EXPD,Expeditors International,Industrials,MID,true,true
DAL,Delta Air Lines Inc,Industrials,LARGE,true,true
UAL,United Airlines Holdings,Industrials,LARGE,true,true
AAL,American Airlines Group,Industrials,MID,true,true
LUV,Southwest Airlines Co,Industrials,LARGE,true,true
CCL,Carnival Corp,Consumer Discretionary,LARGE,true,true
RCL,Royal Caribbean Group,Consumer Discretionary,LARGE,true,true
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,MID,true,true
MAR,Marriott International Inc,Consumer Discretionary,LARGE,true,true
HLT,Hilton Worldwide Holdings,Consumer Discretionary,LARGE,true,true
H,Hyatt Hotels Corp,Consumer Discretionary,MID,true,true
MGM,MGM Resorts International,Consumer Discretionary,MID,true,true
LVS,Las Vegas Sands Corp,Consumer Discretionary,LARGE,true,true
WYNN,Wynn Resorts Ltd,Consumer Discretionary,MID,true,true
CZR,Caesars Entertainment Inc,Consumer Discretionary,MID,true,true
