pick_id,label,pnl_pct,momentum_ignition,relative_volume_spike,obv_divergence,price_compression,consecutive_green,price_momentum_1d,price_momentum_3d,price_momentum_7d,vol_mcap_ratio,vol_change_24h,vol_change_12h,rsi_14,rsi_slope,bb_width,bb_percentb,consolidation_range,distance_from_ath_pct,distance_from_atl_pct,mcap_tier,fear_greed_proxy
claude_tao_20260223_0801,1,11.27,0.0,0.0,0.0,0.0,0.0,3.096,2.4768,1.548,0.05,50.0,30.0,44.288,0.6192,0.15,0.42384,0.08,60.0,200.0,2.0,30.96
claude_avax_20260223_1919,1,10.33,0.0,0.0,0.0,1.0,0.0,4.151,3.3208,2.0755,0.05,50.0,30.0,47.453,0.8302,0.08,0.46604,0.03,60.0,200.0,2.0,41.510000000000005
claude_dcr_20260223_2322,1,25.45,0.0,0.0,0.0,1.0,0.0,4.698,3.7584,2.349,0.05,50.0,30.0,49.094,0.9396,0.08,0.48792,0.03,60.0,200.0,2.0,46.98
claude_ada_20260224_0437,1,10.49,0.0,0.0,1.0,1.0,0.0,4.304,3.4432,2.152,0.05,50.0,30.0,47.912,0.8608,0.08,0.47216,0.03,60.0,200.0,2.0,43.04
claude_stx_20260224_0755,1,14.06,0.0,0.0,0.0,0.0,0.0,4.507,3.6056,2.2535,0.05,50.0,30.0,48.521,0.9014,0.15,0.48028,0.08,60.0,200.0,2.0,45.07
claude_pendle_20260224_0755,1,12.61,0.0,0.0,1.0,1.0,0.0,4.022,3.2176,2.011,0.05,50.0,30.0,47.066,0.8044,0.08,0.46088,0.03,60.0,200.0,2.0,40.22
claude_axs_20260224_1124,1,11.67,0.0,0.0,0.0,0.0,0.0,3.857,3.0856,1.9285,0.05,50.0,30.0,46.571,0.7714,0.15,0.45428,0.08,60.0,200.0,2.0,38.57
claude_zec_20260224_2312,0,-6.74,0.0,0.0,1.0,0.0,3.0,4.049,3.2392,2.0245,0.05,50.0,30.0,47.147,0.8098,0.15,0.46196,0.08,60.0,200.0,2.0,40.49
claude_h_20260225_0533,0,-11.17,0.0,0.0,1.0,0.0,0.0,5.227,4.1816,2.6135,0.05,50.0,30.0,50.681,1.0454,0.15,0.50908,0.08,60.0,200.0,2.0,52.27
claude_bch_20260225_1125,0,-6.69,0.0,0.0,1.0,0.0,0.0,4.377,3.5016,2.1885,0.05,50.0,30.0,48.131,0.8754,0.15,0.47508,0.08,60.0,200.0,2.0,43.77
claude_inj_20260224_0755,0,-5.3,0.0,0.0,0.0,0.0,0.0,4.455,3.564,2.2275,0.05,50.0,30.0,48.365,0.891,0.15,0.4782,0.08,60.0,200.0,2.0,44.55
claude_fet_20260223_1036,0,-5.53,0.0,0.0,0.0,0.0,0.0,4.042,3.2336,2.021,0.05,50.0,30.0,47.126,0.8084,0.15,0.46168,0.08,60.0,200.0,2.0,40.42
claude_mx_20260223_0801,0,0.56,0.0,0.0,0.0,0.0,0.0,3.569,2.8552,1.7845,0.05,50.0,30.0,45.707,0.7138,0.15,0.44276,0.08,60.0,200.0,2.0,35.69
claude_zbcn_20260223_0801,0,-0.56,0.0,0.0,0.0,0.0,0.0,3.142,2.5136,1.571,0.05,50.0,30.0,44.426,0.6284,0.15,0.4256799999999999,0.08,60.0,200.0,2.0,31.42
claude_aave_20260223_1036,0,-4.44,0.0,0.0,0.0,0.0,0.0,4.182,3.3456,2.091,0.05,50.0,30.0,47.546,0.8364,0.15,0.46728,0.08,60.0,200.0,2.0,41.82
claude_etc_20260223_1036,0,0.96,0.0,0.0,0.0,0.0,0.0,4.172000000000001,3.3376,2.0860000000000003,0.05,50.0,30.0,47.516,0.8344,0.15,0.46688,0.08,60.0,200.0,2.0,41.72
claude_render_20260223_1606,0,-6.38,0.0,0.0,0.0,1.0,0.0,4.251,3.4008,2.1255,0.05,50.0,30.0,47.753,0.8502,0.08,0.47004,0.03,60.0,200.0,2.0,42.51
claude_xdc_20260224_1601,1,11.57,0.0,0.0,0.0,1.0,0.0,4.128,3.3024,2.064,0.05,50.0,30.0,47.384,0.8256,0.08,0.46512,0.03,60.0,200.0,2.0,41.28
claude_theta_20260224_0437,0,2.56,0.0,0.0,0.0,0.0,0.0,4.474,3.5792,2.237,0.05,50.0,30.0,48.422,0.8948,0.15,0.47896,0.08,60.0,200.0,2.0,44.74
claude_ondo_20260224_0755,0,9.9,0.0,0.0,0.0,0.0,0.0,4.1530000000000005,3.3224,2.0765,0.05,50.0,30.0,47.459,0.8306,0.15,0.46612,0.08,60.0,200.0,2.0,41.53
claude_gt_20260224_1601,0,6.63,0.0,0.0,0.0,0.0,0.0,3.761,3.0088,1.8805,0.05,50.0,30.0,46.283,0.7522,0.15,0.45044,0.08,60.0,200.0,2.0,37.61
claude_bonk_20260225_0533,0,4.6,0.0,0.0,0.0,0.0,0.0,4.16,3.328,2.08,0.05,50.0,30.0,47.48,0.832,0.15,0.4664,0.08,60.0,200.0,2.0,41.6
claude_vvv_20260310_0632,1,13.63,0.0,0.0,0.0,0.0,0.0,3.408,2.7264,1.704,0.05,50.0,30.0,45.224,0.6816,0.15,0.43632,0.08,60.0,200.0,2.0,34.08
claude_dexe_20260310_0632,0,-0.59,0.0,0.0,0.0,0.0,0.0,2.486,1.9888,1.243,0.05,50.0,30.0,42.458,0.4972,0.15,0.39944,0.08,60.0,200.0,2.0,24.86
claude_pippin_20260310_1837,0,5.82,0.0,0.0,0.0,0.0,0.0,3.859,3.0872,1.9295,0.05,50.0,30.0,46.577,0.7718,0.15,0.45436,0.08,60.0,200.0,2.0,38.59
claude_river_20260311_1230,1,59.16,0.0,0.0,0.0,0.0,3.0,3.893,3.1144,1.9465,0.05,50.0,30.0,46.679,0.7786,0.15,0.45572,0.08,60.0,200.0,2.0,38.93
claude_fet_20260313_0538,0,8.95,0.0,1.0,0.0,0.0,0.0,2.797,2.2376,1.3985,0.15,200.0,150.0,43.391,0.5594,0.15,0.41188,0.08,60.0,200.0,2.0,27.97
claude_render_20260313_0801,0,2.75,0.0,1.0,0.0,0.0,0.0,2.838,2.2704,1.419,0.15,200.0,150.0,43.514,0.5676,0.15,0.41352,0.08,60.0,200.0,2.0,28.38
claude_tao_20260313_1127,1,15.77,0.0,1.0,0.0,0.0,0.0,2.607,2.0856,1.3035,0.15,200.0,150.0,42.821,0.5214,0.15,0.40428,0.08,60.0,200.0,2.0,26.07
claude_axs_20260314_1337,0,-0.81,0.0,1.0,0.0,0.0,0.0,6.0127,6.8903,8.9958,0.015943,6.6911,6.9123,62.14,-5.18,0.141471,0.7438,0.024809,99.25,901.88,0.6937,0.7729
claude_tao_20260316_0800,0,8.15,0.0,0.0,0.0,0.0,1.0,6.4705,17.6842,40.1211,2.4e-05,1.7757,0.5709,52.83,-4.33,0.095744,0.382,0.02706,63.72,791.62,0.7851,0.717
claude_fet_20260316_0800,0,8.7,0.0,0.0,0.0,0.0,8.0,10.3027,15.133,44.7387,0.028555,1.8301,0.4612,75.9,4.33,0.075737,1.0,0.023401,93.98,2442.36,0.7226,0.8554
claude_zec_20260316_0839,1,15.81,0.0,0.0,1.0,0.0,0.0,1.2683,8.5116,12.3527,6e-06,1.2436,1.6982,54.58,-12.34,0.064997,0.5519,0.019355,92.77,1335.01,0.7987,0.7275
claude_m_20260316_0903,1,15.65,0.0,0.0,1.0,0.0,1.0,0.4524,1.2201,-3.2388,9e-06,0.4462,0.5913,48.24,-4.25,0.03351,0.4667,0.008751,50.11,3011.46,0.7842,0.2894
claude_2z_20260316_1010,0,-5.7,0.0,0.0,1.0,1.0,0.0,2.5604,4.3203,13.8078,0.004268,0.8278,0.6667,53.05,-8.04,0.027884,0.4939,0.011664,90.41,30.02,0.7063,0.5183
claude_xcn_20260315_1228,0,-6.7,0.0,0.0,0.0,1.0,0.0,27.1995,28.0543,33.1944,0.18328,1.007,1.0,73.6,9.47,0.26999,1.0,0.024946,96.56,796.87,0.6977,0.6416
claude_cfx_20260315_1527,0,3.47,0.0,1.0,0.0,0.0,0.0,12.4298,18.7105,32.3028,0.218022,4.9948,20.8704,71.99,0.88,0.161978,0.8995,0.017143,96.35,182.06,0.709,0.8319
claude_neo_20260315_1827,0,-1.74,0.0,1.0,1.0,1.0,0.0,12.7984,10.5061,16.9168,0.006114,22.442,70.0188,62.92,-3.81,0.270962,0.6701,0.025301,98.55,3578.41,0.6923,0.7775
claude_s_20260316_0820,0,-4.47,0.0,1.0,1.0,0.0,0.0,6.2958,12.6857,23.745,0.297534,6.5021,0.3627,74.2,1.17,0.100842,0.9011,0.021788,95.21,33.83,0.6893,0.8452
claude_mnt_20260316_0820,0,2.96,0.0,0.0,1.0,0.0,0.0,2.5467,10.0233,20.9692,5.3e-05,2.5333,5.5406,59.38,-3.12,0.050843,0.7057,0.007024,71.98,160.18,0.7849,0.7563
claude_jst_20260316_0820,0,8.67,0.0,0.0,1.0,0.0,1.0,2.4756,1.6636,7.6712,0.045294,1.007,1.0,50.97,-0.62,0.076465,0.5113,0.009255,71.87,1041.22,0.7232,0.5058
claude_etc_20260316_0820,0,-6.68,0.0,0.0,0.0,0.0,9.0,9.8617,8.582,12.265,0.00027,2.8073,6.7777,88.31,3.83,0.127315,1.0,0.011698,94.53,1385.27,0.763,0.9299
claude_wbt_20260316_0820,0,-0.17,0.0,0.0,1.0,0.0,0.0,3.276,2.7244,7.0514,0.0,2.1685,0.4091,71.98,-4.1,0.056988,0.8125,0.003068,10.01,1785.29,0.8409,0.8319
claude_fluid_20260316_0820,0,-6.53,0.0,0.0,1.0,0.0,0.0,6.2255,8.204,12.963,0.000558,2.4497,8.6578,66.57,-7.57,0.118379,0.774,0.012906,90.0,565.69,0.6902,0.7994
claude_nusd_20260316_0820,0,0.77,0.0,0.0,1.0,1.0,1.0,0.2141,0.1205,0.1776,0.066768,1.007,1.0,53.78,2.82,0.003715,0.8015,0.004917,2.92,2.62,0.6942,0.5227
claude_uni_20260316_0903,0,-6.9,0.0,0.0,1.0,0.0,1.0,2.3461,0.72,6.232,0.000482,1.5046,8.4758,54.55,-2.51,0.046789,0.6,0.012526,90.97,293.88,0.7842,0.7273
claude_zbcn_20260316_0903,0,1.38,0.0,0.0,1.0,1.0,0.0,1.1856,-1.3525,0.6322,0.807013,1.047,2.1269,45.35,-3.39,0.025836,0.1825,0.011309,71.36,187.13,0.691,0.4721
claude_sun_20260316_0909,0,3.56,0.0,0.0,1.0,0.0,2.0,0.3886,2.458,0.1469,0.063653,1.0141,1.0,49.51,6.39,0.015124,0.3664,0.006334,99.98,254.43,0.7081,0.4971
claude_hbar_20260316_0940,0,-1.54,0.0,0.0,1.0,0.0,1.0,2.0465,0.7384,3.6838,0.005163,1.7089,3.5976,64.43,-6.85,0.049643,0.8506,0.009674,82.74,896.14,0.8024,0.7866
claude_icp_20260316_0940,0,-3.36,0.0,0.0,1.0,0.0,0.0,0.5999,1.36,8.0983,0.000488,0.5999,2.1608,50.85,-10.79,0.027335,0.5382,0.010804,99.62,32.82,0.7641,0.3051
claude_aster_20260316_1038,0,-4.28,0.0,0.0,1.0,0.0,0.0,0.321,0.5595,2.8322,0.001671,1.0015,1.974,49.14,-21.25,0.028603,0.4459,0.007411,70.17,620.97,0.7707,0.4948
claude_bch_20260316_1108,0,-4.03,0.0,0.0,1.0,0.0,3.0,1.3874,1.0208,5.2982,1e-06,1.3265,2.0744,64.69,7.75,0.037842,0.8706,0.007351,87.45,517.44,0.8314,0.7882
claude_xtz_20260316_1135,0,-1.93,0.0,0.0,1.0,0.0,0.0,1.1071,4.8038,6.799,0.000823,1.7834,0.8407,58.47,-6.57,0.052134,0.6487,0.007682,95.69,12.05,0.7189,0.7508
claude_cake_20260316_1203,0,-3.97,0.0,1.0,0.0,1.0,0.0,11.2583,5.7343,10.5263,0.022325,5.2182,0.1905,58.76,-0.84,0.045402,0.5518,0.015325,96.56,677.61,0.7248,0.7525
claude_link_20260316_2003,0,-5.34,1.0,0.0,0.0,0.0,5.0,8.161,8.6339,10.6904,0.001006,2.4551,0.6643,73.35,6.41,0.048154,1.0,0.014486,81.14,6607.92,0.8206,0.8401
claude_cro_20260317_0057,0,-6.01,1.0,0.0,0.0,0.0,5.0,4.6353,6.6623,7.791,0.002682,2.7244,1.6864,74.23,8.13,0.038111,1.0,0.007988,90.86,572.38,0.7937,0.8454
claude_pepe_20260317_0544,0,-7.11,0.0,0.0,1.0,0.0,0.0,0.7979,12.4629,15.1976,19077.023579,2.842,0.4506,43.39,-14.62,0.063242,0.0,0.026831,86.48,6773.16,0.7671,0.6603
claude_wal_20260318_0058,0,-6.67,0.0,1.0,0.0,0.0,1.0,3.5253,11.519,15.9211,0.124081,5.101,10.2272,73.55,18.61,0.05579,1.0,0.021108,88.4,25.65,0.6913,0.8413
claude_zec_20260318_0521,0,-7.01,0.0,0.0,0.0,0.0,1.0,4.2485,23.8613,31.3162,8.2e-05,1.4959,1.1389,64.22,-0.94,0.064232,0.9103,0.021065,91.18,1650.31,0.8057,0.7853
claude_bonk_20260318_0521,0,-8.38,0.0,0.0,0.0,1.0,1.0,6.7188,14.214,16.1565,3731.586961,1.7061,2.8347,61.15,-11.78,0.094992,0.8471,0.019427,88.27,7828.77,0.7311,0.7669
claude_h_20260318_0521,0,-6.78,0.0,0.0,0.0,0.0,0.0,-9.0519,-11.3609,-9.6657,0.090739,1.007,1.0,37.22,-4.7,0.064975,0.1613,0.015518,70.89,524.54,0.693,0.4233
claude_qnt_20260316_2003,1,12.29,0.0,0.0,1.0,0.0,1.0,2.0799,4.6832,4.184,3e-05,2.2994,0.6965,49.8,-6.76,0.015949,0.1044,0.011849,84.15,31289.47,0.7495,0.6988
claude_dot_20260316_2131,0,-4.88,0.0,1.0,0.0,0.0,6.0,14.595,12.0902,10.2823,0.007859,3.6216,0.689,79.74,4.86,0.119296,0.8352,0.019389,97.02,42.7,0.7864,0.8784
claude_apt_20260316_2330,0,-3.16,0.0,1.0,0.0,0.0,5.0,9.0909,9.0909,5.6995,0.025187,3.1885,1.4315,72.85,0.97,0.059318,0.8932,0.017073,94.88,28.23,0.7422,0.8371
claude_fartcoin_20260317_0159,0,-6.23,0.0,1.0,0.0,0.0,0.0,49.5138,49.5138,12.9379,5e-06,29.987,1.0,99.94,99.94,0.421223,1.0,0.0,91.94,898.08,0.6936,0.9996
claude_river_20260318_0521,1,13.63,0.0,0.0,1.0,0.0,1.0,5.4279,2.9695,58.9053,0.0717,1.007,1.0,49.71,4.31,0.115191,0.3878,0.024559,74.34,1325.05,0.7226,0.4982
claude_xmr_20260318_0521,0,-5.86,0.0,0.0,0.0,0.0,3.0,-2.4651,-0.8354,-4.964,1.4e-05,1.2038,2.0387,56.78,25.55,0.14063,0.648,0.02437,85.12,54808.71,0.8196,0.7407
claude_tao_20260318_0521,0,-6.54,0.0,0.0,0.0,1.0,0.0,0.3242,6.6233,42.8938,5.8e-05,0.6579,0.8395,49.74,3.32,0.043066,0.548,0.017673,63.24,803.34,0.7857,0.2984
claude_chz_20260318_0521,0,-6.48,0.0,0.0,0.0,0.0,1.0,-0.2818,2.502,1.8582,0.127801,0.7567,0.5781,46.65,-1.67,0.016359,0.3957,0.00776,95.57,847.22,0.717,0.2799
claude_grass_20260318_0611,0,-12.45,0.0,0.0,1.0,0.0,5.0,-3.4936,24.1588,19.7096,0.0901,1.007,1.0,53.15,8.62,0.109178,0.5307,0.018204,88.88,159.44,0.6975,0.5189
claude_fet_20260318_0521,0,-9.51,0.0,0.0,1.0,0.0,0.0,1.8704,25.3077,48.4157,0.187954,0.9034,0.5371,50.65,-1.82,0.059223,0.4482,0.025565,93.21,2766.73,0.727,0.5039
claude_dexe_20260318_0521,0,8.06,0.0,0.0,0.0,0.0,3.0,12.8981,4.9274,33.716,0.001395,0.9775,0.5252,63.26,4.85,0.076471,0.7735,0.022471,82.37,749.81,0.7022,0.5796
claude_stx_20260318_0742,0,-6.84,0.0,0.0,1.0,1.0,0.0,0.0759,4.3943,2.8471,0.007451,0.6072,0.9117,47.47,-4.35,0.024477,0.3441,0.009136,93.17,478.34,0.7236,0.2848
claude_zec_20260318_1353,0,-7.51,0.0,0.0,0.0,1.0,0.0,-2.8143,15.0853,21.464,0.000101,1.6592,1.0434,35.34,-23.74,0.078734,0.0,0.023033,91.86,1514.99,0.8031,0.612
claude_vvv_20260318_0644,0,-5.24,0.0,0.0,0.0,1.0,0.0,0.0632,-7.8572,9.8339,0.051101,1.007,1.0,46.88,7.82,0.055488,0.5818,0.01386,74.56,524.53,0.7008,0.4813
claude_axs_20260318_1205,0,-6.4,0.0,0.0,0.0,1.0,0.0,1.1364,1.964,7.5065,0.016203,0.7638,2.5121,47.63,-13.75,0.052185,0.4105,0.017009,99.24,907.13,0.6939,0.2858
claude_render_20260318_1353,0,-6.25,0.0,0.0,0.0,0.0,1.0,-2.1583,-4.329,15.1042,0.005105,0.5255,1.0199,34.67,-7.14,0.04051,0.0,0.012464,86.93,4723.13,0.7468,0.208
claude_usda_20260317_1845,0,-0.02,0.0,1.0,1.0,0.0,4.0,0.0049,0.0207,0.0207,0.0,28.8,1.0,63.92,10.83,0.000226,0.9446,0.004034,3.6,33.39,0.6947,0.7835
claude_river_20260319_0502,0,-11.19,0.0,0.0,0.0,0.0,0.0,16.2096,14.3947,76.5762,0.105571,1.007,1.0,64.92,-8.21,0.150981,0.8231,0.018182,70.18,1556.04,0.7275,0.5895
claude_vvv_20260319_1316,1,10.88,0.0,0.0,0.0,0.0,0.0,-2.1664,-12.2124,-0.1382,0.06937,1.007,1.0,41.44,-3.09,0.119577,0.2865,0.018221,75.81,493.9,0.6977,0.4486
claude_zbcn_20260319_1351,1,12.37,0.0,0.0,1.0,0.0,0.0,1.1458,-0.0439,1.8601,1.323327,1.5124,1.0027,43.01,-9.43,0.047717,0.1004,0.016968,70.75,193.18,0.6921,0.6581
claude_usde_20260318_0501,0,0.01,0.0,0.0,1.0,0.0,0.0,-0.02,-0.04,-0.01,0.000699,1.221,0.4046,37.38,-22.34,0.000332,0.0,0.000108,3.32,7.55,0.8144,0.6243
claude_bonk_20260318_1353,0,-4.65,0.0,0.0,0.0,1.0,0.0,-3.4109,4.7059,3.4884,4731.528594,1.9589,2.0417,31.17,-18.7,0.106282,0.0,0.021601,89.3,7132.24,0.7283,0.587
claude_jst_20260318_1353,0,-0.38,0.0,0.0,0.0,1.0,1.0,5.4307,12.1461,12.0818,0.125648,2.2128,3.6975,70.34,-3.19,0.070364,1.0,0.011466,69.66,1131.01,0.7261,0.8221
claude_gt_20260318_1353,0,-3.55,0.0,0.0,0.0,0.0,0.0,-1.1092,-0.0024,1.8558,0.002934,1.007,1.0,43.47,-4.48,0.017348,0.3464,0.007077,71.86,2672.65,0.7545,0.4608
claude_kcs_20260318_1353,0,1.24,0.0,0.0,1.0,0.0,0.0,-0.2444,1.4468,5.5468,0.001805,1.007,1.0,45.59,1.25,0.035338,0.2895,0.008517,70.98,2340.15,0.7522,0.4735
claude_nexo_20260318_1353,0,1.23,0.0,0.0,1.0,1.0,1.0,-1.6393,0.1112,-0.9901,0.000576,0.7587,0.6245,33.14,-13.35,0.036218,0.0,0.008715,77.89,1893.23,0.7461,0.1988
claude_aster_20260318_1519,0,0.37,0.0,0.0,0.0,0.0,1.0,-8.7186,-3.3566,-1.8466,0.035656,2.3677,1.3403,30.13,4.85,0.152317,0.0978,0.019881,71.33,592.99,0.7688,0.5808
claude_virtual_20260318_2046,0,-3.9,0.0,0.0,0.0,0.0,1.0,-6.5774,-0.4077,4.1051,0.032589,1.0353,2.0844,31.14,2.46,0.136224,0.2226,0.017086,85.54,9690.22,0.7233,0.3869
claude_pepe_20260318_2046,0,-1.72,0.0,0.0,0.0,1.0,1.0,-5.1491,3.8576,4.4776,9805.142325,0.961,1.4828,32.29,4.97,0.112221,0.273,0.016883,87.51,6247.25,0.7639,0.3938
claude_cfx_20260319_0059,0,6.61,0.0,0.0,0.0,0.0,0.0,-3.955,-0.8553,17.9724,0.164296,0.5947,1.1565,41.67,-6.24,0.085055,0.3417,0.01392,96.39,179.29,0.7086,0.25
claude_theta_20260319_0059,0,-5.47,0.0,0.0,0.0,0.0,0.0,-3.7433,0.5587,-1.6393,0.044511,1.3992,0.9215,42.23,-3.0,0.097197,0.3897,0.014592,98.85,345.55,0.688,0.6534
claude_xdc_20260319_0520,0,1.05,0.0,0.0,0.0,0.0,0.0,-7.6266,-1.4778,-6.6048,4.4e-05,0.5069,1.2637,37.55,-8.61,0.131827,0.2246,0.007467,83.4,7994.71,0.7337,0.2253
claude_lit_20260319_0520,0,-7.16,0.0,0.0,1.0,0.0,1.0,1.6416,-2.4934,-5.7107,0.040386,0.4197,1.4096,55.44,12.18,0.145688,0.7848,0.045921,90.55,-25.27,0.7054,0.3326
claude_ftn_20260319_0520,0,0.09,0.0,0.0,1.0,0.0,1.0,-0.0171,-0.0332,-0.0341,8.5e-05,1.007,1.0,49.25,2.16,0.001279,0.4356,0.004405,76.38,225.81,0.7228,0.4955
claude_neo_20260319_0547,0,-2.17,0.0,0.0,0.0,0.0,2.0,-3.1513,-3.0154,8.9405,0.003885,0.4682,1.1005,53.54,0.61,0.054816,0.7871,0.011896,98.61,3430.36,0.6909,0.3212
claude_etc_20260319_0738,0,0.6,0.0,0.0,0.0,0.0,0.0,-5.2036,-7.4033,1.8226,0.000247,0.8221,0.6165,34.41,-9.8,0.028682,0.1703,0.010385,94.98,1262.52,0.7596,0.4064
claude_fluid_20260319_0810,0,2.19,0.0,0.0,1.0,1.0,0.0,-5.0063,-7.0991,2.9385,0.000366,1.0853,1.3416,39.69,-1.47,0.029755,0.6259,0.012459,90.67,521.22,0.6878,0.4381
claude_cro_20260319_0835,0,-1.07,0.0,0.0,0.0,0.0,0.0,-3.7333,-3.6232,-0.1843,0.0022,1.3507,1.005,34.12,-6.72,0.018468,0.1413,0.008148,91.5,525.52,0.7921,0.6047
claude_aave_20260319_0835,0,-2.12,0.0,0.0,0.0,0.0,0.0,-5.8794,-4.3163,3.7193,6e-05,1.0405,0.4912,35.97,-8.51,0.042272,0.2288,0.013245,82.85,336.2,0.7698,0.4158
claude_bch_20260319_0835,0,2.96,0.0,0.0,0.0,0.0,0.0,-3.111,-3.317,-0.3288,2e-06,1.0905,0.5744,40.24,-2.61,0.025296,0.5309,0.008511,87.99,491.06,0.83,0.4415
claude_bgb_20260319_0835,0,0.0,0.0,0.0,0.0,0.0,1.0,-1.784,-1.8876,-0.8508,0.01149,1.007,1.0,39.79,-0.65,0.01546,0.4721,0.006002,74.54,14963.8,0.7646,0.4387
claude_hash_20260319_0835,0,-12.05,0.0,0.0,0.0,0.0,3.0,17.4926,16.153,3.1906,0.000142,1.007,1.0,60.01,0.21,0.41904,0.7536,0.033144,76.0,47.75,0.7422,0.5601
claude_fet_20260319_0906,0,9.83,0.0,0.0,0.0,0.0,1.0,-5.9938,2.7457,32.98,0.169904,0.6888,0.5399,34.76,-7.88,0.056946,0.0,0.022537,93.82,2510.9,0.7235,0.2086
claude_dexe_20260319_0906,0,-1.94,0.0,0.0,0.0,1.0,0.0,14.1322,21.1085,45.1248,0.001511,1.0838,2.9953,71.18,-3.81,0.209245,0.8043,0.020476,80.97,817.56,0.705,0.6271
claude_mx_20260319_0906,0,0.0,0.0,0.0,0.0,1.0,1.0,-0.1101,-0.0151,-0.1001,0.050111,1.007,1.0,47.92,3.77,0.001357,0.434,0.00436,69.39,4145.02,0.6847,0.4875
claude_chz_20260319_1204,0,1.46,0.0,0.0,0.0,1.0,2.0,-4.0893,-9.3337,-4.5771,0.225112,1.2019,0.6667,32.04,0.19,0.040208,0.2257,0.011234,95.94,767.64,0.7138,0.5922
claude_grass_20260319_1316,0,-1.71,0.0,0.0,0.0,1.0,0.0,-6.5274,4.7551,11.271,0.121383,1.007,1.0,53.13,4.15,0.140253,0.7525,0.018557,89.74,139.31,0.6939,0.5188
claude_dcr_20260319_1938,0,-7.55,0.0,0.0,0.0,0.0,2.0,-0.9716,-2.43,-0.8975,2.7e-05,0.6475,1.4578,43.52,7.21,0.031569,0.2969,0.008166,89.29,6040.8,0.7218,0.2611
claude_ltc_20260319_1440,0,-0.27,0.0,0.0,1.0,0.0,0.0,-1.0615,-5.5641,1.2148,6.9e-05,0.8443,0.9543,36.3,-2.14,0.026767,0.0855,0.007757,86.6,4681.74,0.8022,0.4178
claude_pendle_20260319_1613,0,-1.61,0.0,0.0,1.0,0.0,0.0,-0.8821,-8.6475,-1.5139,0.005722,0.5518,1.1715,36.89,1.87,0.03747,0.1684,0.01069,83.52,3559.26,0.6927,0.2213
claude_stx_20260319_1741,0,-1.37,0.0,0.0,0.0,0.0,1.0,-3.4838,-7.0175,-3.6744,0.009091,0.6968,1.5957,35.56,1.07,0.050881,0.2148,0.009613,93.68,434.69,0.7209,0.2134
claude_axs_20260319_1741,0,-3.39,0.0,0.0,1.0,0.0,1.0,-2.3237,-5.0806,4.0672,0.016384,0.6813,0.9684,39.98,2.76,0.052243,0.2401,0.015952,99.29,851.36,0.6918,0.2399
claude_zec_20260319_1938,0,-7.09,0.0,0.0,1.0,0.0,1.0,-4.1778,-11.2217,13.934,7e-05,0.8411,0.8206,36.65,10.72,0.105882,0.26,0.017675,92.59,1370.58,0.7997,0.4199
