json_symbol,json_strategy,json_entry_time,json_exit_time,json_status,json_pnl_pct,db_id_match,db_created_at,db_closed_at,WOULD_FIX
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-18T20:00:00+00:00,2026-03-19T07:00:00+00:00,LOSS,-1.0896,,,,YES
ETHUSDT,multi_period_rsi_confluence_eth,2026-03-18T22:00:00+00:00,2026-03-19T10:00:00+00:00,LOSS,-0.9898,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
ETHUSDT,drawdown_recovery_rsi_eth,2026-03-19T12:00:00+00:00,2026-03-20T00:00:00+00:00,WIN,0.6327,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-19T15:00:00+00:00,2026-03-20T03:00:00+00:00,WIN,1.8604,,,,YES
ETHUSDT,drawdown_recovery_rsi_eth,2026-03-19T16:00:00+00:00,2026-03-20T04:00:00+00:00,WIN,1.5624,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
ETHUSDT,drawdown_recovery_rsi_eth,2026-03-19T23:00:00+00:00,2026-03-20T11:00:00+00:00,WIN,0.1604,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-22T00:00:00+00:00,2026-03-22T11:00:00+00:00,LOSS,-0.6493,,,,YES
ETHUSDT,multi_period_rsi_confluence_eth,2026-03-22T10:00:00+00:00,2026-03-22T21:00:00+00:00,LOSS,-1.4119,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-03-22T21:00:00+00:00,2026-03-23T09:00:00+00:00,LOSS,-0.1149,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-03-23T15:00:00+00:00,2026-03-24T03:00:00+00:00,WIN,0.5865,,,,YES
ETHUSDT,multi_period_rsi_confluence_eth,2026-03-26T11:00:00+00:00,2026-03-26T23:00:00+00:00,LOSS,-0.4037,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-26T18:00:00+00:00,2026-03-27T06:00:00+00:00,WIN,0.2391,,,,YES
ETHUSDT,multi_period_rsi_confluence_eth,2026-03-26T22:00:00+00:00,2026-03-27T10:00:00+00:00,LOSS,-1.4217,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
ETHUSDT,drawdown_recovery_rsi_eth,2026-03-27T10:00:00+00:00,2026-03-27T22:00:00+00:00,LOSS,-0.3013,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
SOLUSDT,drawdown_recovery_rsi_sol,2026-03-27T10:00:00+00:00,2026-03-27T22:00:00+00:00,LOSS,-0.3373,iso_battleground_SOLUSDT_7886407340,2026-04-13 23:47:55,2026-04-14 01:33:27,NO
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-27T14:00:00+00:00,2026-03-28T02:00:00+00:00,LOSS,-0.2344,,,,YES
ETHUSDT,drawdown_recovery_rsi_eth,2026-03-27T14:00:00+00:00,2026-03-28T02:00:00+00:00,LOSS,-0.1101,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
SOLUSDT,drawdown_recovery_rsi_sol,2026-03-27T14:00:00+00:00,2026-03-28T02:00:00+00:00,LOSS,-0.7453,iso_battleground_SOLUSDT_7886407340,2026-04-13 23:47:55,2026-04-14 01:33:27,NO
ETHUSDT,drawdown_recovery_rsi_eth,2026-03-27T18:00:00+00:00,2026-03-28T06:00:00+00:00,WIN,0.8689,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
SOLUSDT,drawdown_recovery_rsi_sol,2026-03-27T18:00:00+00:00,2026-03-28T06:00:00+00:00,WIN,0.9587,iso_battleground_SOLUSDT_7886407340,2026-04-13 23:47:55,2026-04-14 01:33:27,NO
ETHUSDT,drawdown_recovery_rsi_eth,2026-03-27T22:00:00+00:00,2026-03-28T10:00:00+00:00,WIN,0.556,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-29T17:00:00+00:00,2026-03-29T22:00:00+00:00,LOSS,-0.4984,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-30T08:00:00+00:00,2026-03-30T20:00:00+00:00,WIN,1.5201,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-31T17:00:00+00:00,2026-04-01T05:00:00+00:00,LOSS,-1.2676,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-02T13:00:00+00:00,2026-04-03T01:00:00+00:00,WIN,0.5275,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-03T14:00:00+00:00,2026-04-04T02:00:00+00:00,LOSS,-0.1455,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-03T19:00:00+00:00,2026-04-04T07:00:00+00:00,WIN,0.1929,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-03T23:00:00+00:00,2026-04-04T11:00:00+00:00,WIN,0.2815,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-04T05:00:00+00:00,2026-04-04T13:00:00+00:00,WIN,0.404,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-04T09:00:00+00:00,2026-04-04T13:00:00+00:00,WIN,0.3268,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-04T13:00:00+00:00,2026-04-05T01:00:00+00:00,LOSS,-0.1793,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-04T17:00:00+00:00,2026-04-05T01:00:00+00:00,LOSS,-0.3553,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-04T21:00:00+00:00,2026-04-05T05:00:00+00:00,LOSS,-0.4043,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-05T06:00:00+00:00,2026-04-05T15:00:00+00:00,WIN,0.5246,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-05T15:00:00+00:00,2026-04-05T22:00:00+00:00,WIN,0.7294,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-04-05T22:00:00+00:00,2026-04-06T09:00:00+00:00,WIN,1.3532,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-06T00:00:00+00:00,2026-04-06T09:00:00+00:00,LOSS,-0.717,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-04-06T02:00:00+00:00,2026-04-06T14:00:00+00:00,WIN,0.6443,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-04-06T06:00:00+00:00,2026-04-06T18:00:00+00:00,WIN,1.3244,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-06T16:00:00+00:00,2026-04-06T22:00:00+00:00,WIN,1.1396,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-04-07T23:00:00+00:00,2026-04-08T11:00:00+00:00,LOSS,-0.338,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-08T13:00:00+00:00,2026-04-09T01:00:00+00:00,WIN,0.9495,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-09T22:00:00+00:00,2026-04-10T10:00:00+00:00,WIN,0.0459,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-13T17:00:00+00:00,2026-04-13T19:00:00+00:00,LOSS,-0.7735,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-04-13T19:00:00+00:00,2026-04-14T07:00:00+00:00,WIN,1.6689,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-13T23:00:00+00:00,2026-04-14T11:00:00+00:00,WIN,0.0359,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-17T09:00:00+00:00,2026-04-17T13:00:00+00:00,LOSS,-0.6295,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-17T16:00:00+00:00,2026-04-18T04:00:00+00:00,WIN,0.9245,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-04-19T07:00:00+00:00,2026-04-19T13:00:00+00:00,LOSS,-0.6517,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-19T13:00:00+00:00,2026-04-19T16:00:00+00:00,LOSS,-0.6664,,,,YES
ETHUSDT,multi_period_rsi_confluence_eth,2026-04-19T17:00:00+00:00,2026-04-19T22:00:00+00:00,LOSS,-1.0829,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-04-19T21:00:00+00:00,2026-04-20T09:00:00+00:00,WIN,1.447,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-04-20T01:00:00+00:00,2026-04-20T13:00:00+00:00,WIN,1.0914,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-04-20T05:00:00+00:00,2026-04-20T17:00:00+00:00,WIN,2.0668,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-23T17:00:00+00:00,2026-04-24T05:00:00+00:00,WIN,0.2237,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-25T16:00:00+00:00,2026-04-26T04:00:00+00:00,WIN,0.4525,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-25T22:00:00+00:00,2026-04-26T05:00:00+00:00,WIN,0.4804,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-26T04:00:00+00:00,2026-04-26T16:00:00+00:00,WIN,0.2083,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-26T08:00:00+00:00,2026-04-26T20:00:00+00:00,WIN,0.2136,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-26T12:00:00+00:00,2026-04-26T18:00:00+00:00,WIN,0.5291,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-26T16:00:00+00:00,2026-04-26T21:00:00+00:00,WIN,0.5688,,,,YES
BTCUSDT,atr_percentile_gate,2026-04-26T20:00:00+00:00,2026-04-26T23:00:00+00:00,WIN,0.5656,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-04-27T00:00:00+00:00,2026-04-27T05:00:00+00:00,LOSS,-1.0953,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-04-29T10:00:00+00:00,2026-04-29T13:00:00+00:00,WIN,0.8864,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-05-01T20:00:00+00:00,2026-05-02T08:00:00+00:00,WIN,0.5602,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-05-02T21:00:00+00:00,2026-05-03T01:00:00+00:00,WIN,0.4696,,,,YES
BTCUSDT,atr_percentile_gate,2026-05-03T07:00:00+00:00,2026-05-03T19:00:00+00:00,WIN,0.5169,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-05-03T20:00:00+00:00,2026-05-04T01:00:00+00:00,LOSS,-0.3474,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-05-04T01:00:00+00:00,2026-05-04T10:00:00+00:00,LOSS,-0.9712,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-05-04T04:00:00+00:00,2026-05-04T10:00:00+00:00,WIN,1.2054,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-05-04T06:00:00+00:00,2026-05-04T11:00:00+00:00,LOSS,-1.3213,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-05-04T10:00:00+00:00,2026-05-04T22:00:00+00:00,WIN,1.434,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-05-07T10:00:00+00:00,2026-05-07T14:00:00+00:00,LOSS,-0.5412,,,,YES
ETHUSDT,multi_period_rsi_confluence_eth,2026-05-07T14:00:00+00:00,2026-05-08T02:00:00+00:00,LOSS,-0.8803,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-05-07T20:00:00+00:00,2026-05-08T08:00:00+00:00,LOSS,-0.2315,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-05-08T00:00:00+00:00,2026-05-08T12:00:00+00:00,LOSS,-0.08,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-05-08T04:00:00+00:00,2026-05-08T16:00:00+00:00,WIN,0.3594,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-05-09T16:00:00+00:00,2026-05-09T18:00:00+00:00,LOSS,-0.309,,,,YES
